scrap_id,folder,scrap_area_in2,fixed_main_triangles,fixed_main_recovery_pct,fixed_anti_triangles,fixed_anti_recovery_pct,best_orientation_triangles,best_orientation_recovery_pct,greedy_triangles,greedy_recovery_pct
oren_scrap2_Polygon-19,oren,1.4703,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap2_Polygon-12,oren,1.7970,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap2_Polygon-25,oren,5.0925,3,29.4553,4,39.2737,4,39.2737,4,39.2737
oren_scrap2_Polygon-15,oren,1.5791,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap2_Polygon-8,oren,3.5630,2,28.0665,2,28.0665,2,28.0665,2,28.0665
oren_scrap2_Polygon-24,oren,2.8357,2,35.2648,2,35.2648,2,35.2648,2,35.2648
oren_scrap1_Polygon-2,oren,7.9795,8,50.1282,8,50.1282,8,50.1282,8,50.1282
oren_scrap1_Polygon-7,oren,2.3908,1,20.9137,0,0.0000,1,20.9137,1,20.9137
oren_scrap1_Polygon-4,oren,7.1111,8,56.2500,8,56.2500,8,56.2500,8,56.2500
oren_scrap1_Polygon-9,oren,510.1454,936,91.7386,938,91.9346,938,91.9346,938,91.9346
oren_scrap1_Polygon-6,oren,2.7107,4,73.7812,4,73.7812,4,73.7812,4,73.7812
oren_scrap1_Polygon-3,oren,4.1412,2,24.1476,2,24.1476,2,24.1476,2,24.1476
oren_scrap1_Polygon-5,oren,1.3151,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap1_Polygon-8,oren,4.5906,4,43.5676,4,43.5676,4,43.5676,4,43.5676
oren_scrap4_Polygon-2,oren,1.0481,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap4_Polygon-7,oren,5.2986,6,56.6184,5,47.1820,6,56.6184,6,56.6184
oren_scrap4_Polygon-3,oren,1.3100,0,0.0000,0,0.0000,0,0.0000,0,0.0000
oren_scrap4_Polygon-8,oren,14.0260,21,74.8612,18,64.1668,21,74.8612,21,74.8612
oren_scrap4_Polygon-9,oren,9.9576,12,60.2554,12,60.2554,12,60.2554,12,60.2554
oren_scrap4_Polygon-10,oren,54.6999,88,80.4389,88,80.4389,88,80.4389,90,82.2670
oren_scrap4_Polygon-11,oren,10.5532,12,56.8548,13,61.5927,13,61.5927,13,61.5927
oren_scrap4_Polygon-5,oren,9.9954,12,60.0277,12,60.0277,12,60.0277,12,60.0277
oren_scrap4_Polygon-4,oren,42.4658,64,75.3547,63,74.1773,64,75.3547,65,76.5321
oren_scrap4_Polygon-6,oren,12.3797,14,56.5444,12,48.4666,14,56.5444,14,56.5444
oren_scrap3_Polygon-18,oren,8.3280,11,66.0421,10,60.0383,11,66.0421,11,66.0421
