scrap_id,folder,scrap_area_in2,isosceles_triangles,isosceles_recovery_pct,306090_triangles,306090_recovery_pct,equilateral_triangles,equilateral_recovery_pct
bag4_scrap9_Polygon-3,bag4,205.48,340,82.73,360,87.60,376,91.49
bag4_scrap9_Polygon-2,bag4,150.83,263,87.18,244,80.88,255,84.53
bag4_scrap8_Polygon-2,bag4,507.45,926,91.24,958,94.39,932,91.83
etsybag_scrap10_Polygon-11,etsybag,6.38,8,62.66,6,47.00,6,47.00
etsybag_scrap10_Polygon-22,etsybag,6.35,8,62.94,6,47.21,6,47.21
etsybag_scrap10_Polygon-5,etsybag,5.69,8,70.30,6,52.73,6,52.73
etsybag_scrap10_Polygon-14,etsybag,5.99,8,66.83,6,50.12,6,50.12
etsybag_scrap10_Polygon-19,etsybag,11.67,16,68.57,12,51.42,14,60.00
etsybag_scrap10_Polygon-10,etsybag,6.21,8,64.40,5,40.25,6,48.30
etsybag_scrap10_Polygon-18,etsybag,11.31,16,70.73,12,53.05,14,61.89
etsybag_scrap10_Polygon-9,etsybag,5.33,7,65.68,5,46.92,5,46.92
etsybag_scrap10_Polygon-28,etsybag,6.07,8,65.87,6,49.40,6,49.40
