Scrap Type,Scrap ID,Original Area (in²),Triangle Size (in),Scale (px/in),Accepted Triangles,Recovered Area (in²),Theoretical Area (in²),Recovery %
audrey,audrey_scrap4_Polygon-24,9.23,1.00,83.00,10,5.00,5.00,54.20
audrey,audrey_scrap4_Polygon-14,2.50,1.00,83.00,2,1.00,1.00,39.96
audrey,audrey_scrap4_Polygon-8,10.77,1.00,83.00,10,5.00,5.00,46.42
audrey,audrey_scrap4_Polygon-18,6.18,1.00,83.00,7,3.50,3.50,56.59
audrey,audrey_scrap4_Polygon-26,6.20,1.00,83.00,10,5.00,5.00,80.59
audrey,audrey_scrap4_Polygon-20,6.51,1.00,83.00,5,2.50,2.50,38.42
audrey,audrey_scrap4_Polygon-17,4.66,1.00,83.00,6,3.00,3.00,64.35
audrey,audrey_scrap4_Polygon-13,5.30,1.00,83.00,6,3.00,3.00,56.63
audrey,audrey_scrap4_Polygon-9,5.30,1.00,83.00,4,2.00,2.00,37.73
audrey,audrey_scrap4_Polygon-10,4.93,1.00,83.00,4,2.00,2.00,40.58
audrey,audrey_scrap4_Polygon-12,4.79,1.00,83.00,5,2.50,2.50,52.22
audrey,audrey_scrap4_Polygon-11,10.80,1.00,83.00,10,5.00,5.00,46.29
audrey,audrey_scrap4_Polygon-16,6.19,1.00,83.00,4,2.00,2.00,32.28
audrey,audrey_scrap4_Polygon-19,5.35,1.00,83.00,6,3.00,3.00,56.09
audrey,audrey_scrap4_Polygon-5,18.10,1.00,83.00,24,12.00,12.00,66.31
audrey,audrey_scrap4_Polygon-22,9.13,1.00,83.00,8,4.00,4.00,43.82
audrey,audrey_scrap4_Polygon-27,8.91,1.00,83.00,12,6.00,6.00,67.37
audrey,audrey_scrap4_Polygon-21,5.44,1.00,83.00,4,2.00,2.00,36.77
audrey,audrey_scrap4_Polygon-15,2.51,1.00,83.00,2,1.00,1.00,39.90
audrey,audrey_scrap4_Polygon-28,9.97,1.00,83.00,12,6.00,6.00,60.18
audrey,audrey_scrap4_Polygon-4,26.31,1.00,83.00,33,16.50,16.50,62.71
audrey,audrey_scrap4_Polygon-6,10.58,1.00,83.00,18,9.00,9.00,85.05
audrey,audrey_scrap1_Polygon-2,20.88,1.00,91.00,20,10.00,10.00,47.88
audrey,audrey_scrap1_Polygon-11,12.46,1.00,91.00,12,6.00,6.00,48.15
audrey,audrey_scrap1_Polygon-7,11.67,1.00,91.00,18,9.00,9.00,77.11
audrey,audrey_scrap1_Polygon-14,35.73,1.00,91.00,46,23.00,23.00,64.37
audrey,audrey_scrap1_Polygon-4,7.95,1.00,91.00,6,3.00,3.00,37.73
audrey,audrey_scrap1_Polygon-15,39.44,1.00,91.00,50,25.00,25.00,63.39
audrey,audrey_scrap1_Polygon-10,4.30,1.00,91.00,4,2.00,2.00,46.50
audrey,audrey_scrap1_Polygon-9,21.07,1.00,91.00,21,10.50,10.50,49.83
audrey,audrey_scrap1_Polygon-12,2.80,1.00,91.00,0,0.00,0.00,0.00
audrey,audrey_scrap1_Polygon-6,10.51,1.00,91.00,12,6.00,6.00,57.07
audrey,audrey_scrap1_Polygon-3,28.38,1.00,91.00,48,24.00,24.00,84.58
audrey,audrey_scrap1_Polygon-5,8.00,1.00,91.00,6,3.00,3.00,37.50
audrey,audrey_scrap1_Polygon-13,18.52,1.00,91.00,18,9.00,9.00,48.60
audrey,audrey_scrap1_Polygon-8,81.75,1.00,91.00,149,74.50,74.50,91.13
audrey,audrey_scrap5_Polygon-12,6.99,1.00,89.00,6,3.00,3.00,42.94
audrey,audrey_scrap5_Polygon-20,77.95,1.00,89.00,96,48.00,48.00,61.58
audrey,audrey_scrap5_Polygon-10,4.18,1.00,89.00,0,0.00,0.00,0.00
audrey,audrey_scrap5_Polygon-5,9.62,1.00,89.00,12,6.00,6.00,62.38
audrey,audrey_scrap5_Polygon-17,14.52,1.00,89.00,14,7.00,7.00,48.20
audrey,audrey_scrap5_Polygon-16,6.81,1.00,89.00,6,3.00,3.00,44.04
audrey,audrey_scrap5_Polygon-18,17.34,1.00,89.00,28,14.00,14.00,80.75
audrey,audrey_scrap5_Polygon-9,59.86,1.00,89.00,94,47.00,47.00,78.52
audrey,audrey_scrap5_Polygon-3,7.97,1.00,89.00,8,4.00,4.00,50.17
